date,cost,cost_3,cost_4,cost_5,cost_6,cost_7
2022/5/19,205.8709624,205.8709628,205.8709629,205.8709629,205.8709629,205.8709629
2022/5/20,205.870963,205.8709628,205.8709629,205.8709629,205.8709629,205.8709629
2022/5/21,205.8709634,205.8709629,205.870963,205.870963,205.870963,205.870963
2022/5/22,205.8709634,205.8709633,205.8709631,205.8709631,205.870963,205.870963
2022/5/23,205.8709624,205.8709631,205.8709631,205.8709629,205.870963,205.8709629
2022/5/24,205.870963,205.8709629,205.8709631,205.870963,205.8709629,205.870963
2022/5/25,205.8709626,205.8709627,205.8709629,205.870963,205.870963,205.8709629
2022/5/26,205.8709629,205.8709628,205.8709627,205.8709629,205.870963,205.870963
2022/5/27,205.870963,205.8709628,205.8709629,205.8709628,205.8709629,205.870963
2022/5/28,205.8709634,205.8709631,205.870963,205.870963,205.8709629,205.870963
2022/5/29,205.8709632,205.8709632,205.8709631,205.870963,205.870963,205.8709629
2022/5/30,205.8709629,205.8709632,205.8709631,205.8709631,205.870963,205.870963
2022/5/31,205.8709626,205.8709629,205.870963,205.870963,205.870963,205.8709629
2022/6/1,212.0666618,207.9361958,207.4198876,207.1101028,206.9035795,206.7560628
2022/6/2,212.066662,210.0014288,208.9688123,208.3492425,207.936196,207.6411627
2022/6/3,212.0666616,212.0666618,210.517737,209.5883822,208.9688124,208.5262625
2022/6/4,212.0666617,212.0666618,212.0666618,210.8275219,210.0014288,209.4113623
2022/6/5,212.0666619,212.0666617,212.0666618,212.0666618,211.0340453,210.2964621
2022/6/6,212.0666614,212.0666617,212.0666617,212.0666617,212.0666617,211.1815619
2022/6/7,212.0666616,212.0666616,212.0666617,212.0666616,212.0666617,212.0666617
2022/6/8,213.0270074,212.3867768,212.3067481,212.2587308,212.2267193,212.2038539
2022/6/9,217.8286575,214.3074422,213.747247,213.41113,213.1870519,213.0269962
2022/6/10,217.8286565,216.2281071,215.1877458,214.5635289,214.1473844,213.8501383
2022/6/11,217.828657,217.828657,216.6282446,215.715928,215.1077169,214.6732805
2022/6/12,217.8286569,217.8286568,217.828657,216.8683271,216.0680495,215.4964226
2022/6/13,217.8286567,217.8286569,217.8286568,217.8286569,217.028382,216.3195648
2022/6/14,217.828657,217.8286569,217.8286569,217.8286568,217.8286569,217.142707
2022/6/15,217.8286573,217.828657,217.828657,217.828657,217.8286569,217.828657
2022/6/16,217.8286568,217.828657,217.828657,217.8286569,217.828657,217.8286569
2022/6/17,217.8286573,217.8286571,217.8286571,217.828657,217.828657,217.828657
2022/6/18,217.8286569,217.828657,217.8286571,217.8286571,217.828657,217.828657
2022/6/19,217.8286577,217.8286573,217.8286572,217.8286572,217.8286572,217.8286571
2022/6/20,217.8286568,217.8286571,217.8286572,217.8286571,217.8286571,217.8286571
2022/6/21,217.8286569,217.8286571,217.8286571,217.8286571,217.8286571,217.8286571
2022/6/22,217.8286564,217.8286567,217.828657,217.8286569,217.828657,217.828657
2022/6/23,218.3754304,218.0109146,217.9653501,217.9380116,217.9197859,217.9067675
2022/6/24,150.7641512,195.6560793,201.1992237,204.5251103,206.7423682,208.3261238
2022/6/25,222.2576569,197.1324128,202.3064737,205.4109104,207.4805348,208.958838
2022/6/26,222.2576571,198.4264884,203.4137239,206.2967104,208.2187015,209.5915522
2022/6/27,222.2576568,222.2576569,204.3842805,207.1825105,208.9568681,210.2242665
2022/6/28,222.2576568,222.2576569,222.2576569,207.9589558,209.6950349,210.8569808
2022/6/29,222.2576572,222.2576569,222.257657,222.257657,210.3420727,211.4896952
2022/6/30,223.4144594,222.6432578,222.5468576,222.4890175,222.4504574,212.2095565
2022/7/1,244.3074097,229.9931754,228.0592958,226.898968,226.1254162,225.5728791
2022/7/2,244.3074096,237.3430929,233.571734,231.3089185,229.8003749,228.7228438
2022/7/3,244.3074101,244.3074098,239.0841722,235.7188692,233.4753338,231.8728085
2022/7/4,244.3074098,244.3074098,244.3074098,240.1288197,237.1502926,235.0227732
2022/7/5,244.3074094,244.3074098,244.3074097,244.3074097,240.8252513,238.1727379
2022/7/6,244.3074093,244.3074095,244.3074097,244.3074096,244.3074097,241.3227025
2022/7/7,244.3074102,244.3074096,244.3074097,244.3074098,244.3074097,244.3074097
2022/7/8,244.3074096,244.3074097,244.3074096,244.3074097,244.3074097,244.3074097
2022/7/9,244.3074098,244.3074099,244.3074097,244.3074097,244.3074097,244.3074097
2022/7/10,244.3074101,244.3074098,244.3074099,244.3074098,244.3074097,244.3074097
2022/7/11,244.3074094,244.3074098,244.3074097,244.3074098,244.3074097,244.3074097
2022/7/12,244.307409,244.3074095,244.3074096,244.3074096,244.3074097,244.3074096
2022/7/13,244.3074097,244.3074094,244.3074096,244.3074096,244.3074096,244.3074097
2022/7/14,244.3074085,244.3074091,244.3074092,244.3074093,244.3074094,244.3074094
2022/7/15,244.3074098,244.3074093,244.3074093,244.3074093,244.3074094,244.3074095
2022/7/16,244.3074093,244.3074092,244.3074093,244.3074093,244.3074093,244.3074094
2022/7/17,244.3074103,244.3074098,244.3074095,244.3074095,244.3074094,244.3074094
2022/7/18,244.3074098,244.3074098,244.3074098,244.3074095,244.3074096,244.3074095
2022/7/19,244.3074093,244.3074098,244.3074097,244.3074097,244.3074095,244.3074095
2022/7/20,244.3074095,244.3074095,244.3074097,244.3074096,244.3074097,244.3074095
2022/7/21,244.3074101,244.3074096,244.3074097,244.3074098,244.3074097,244.3074097
2022/7/22,244.3074097,244.3074098,244.3074097,244.3074097,244.3074098,244.3074097
2022/7/23,244.3074101,244.30741,244.3074099,244.3074097,244.3074098,244.3074098
2022/7/24,244.3074092,244.3074097,244.3074098,244.3074097,244.3074097,244.3074097
2022/7/25,244.3074092,244.3074095,244.3074096,244.3074097,244.3074096,244.3074096
2022/7/26,244.3074101,244.3074095,244.3074097,244.3074097,244.3074097,244.3074097
2022/7/27,244.3074089,244.3074094,244.3074094,244.3074095,244.3074095,244.3074096
2022/7/28,244.3074094,244.3074095,244.3074094,244.3074094,244.3074095,244.3074095
2022/7/29,244.3074098,244.3074094,244.3074096,244.3074095,244.3074094,244.3074095
2022/7/30,244.30741,244.3074097,244.3074095,244.3074096,244.3074096,244.3074095
2022/7/31,244.3074093,244.3074097,244.3074096,244.3074095,244.3074096,244.3074095
2022/8/1,244.3074097,244.3074097,244.3074097,244.3074096,244.3074095,244.3074096
2022/8/2,244.3074094,244.3074095,244.3074096,244.3074096,244.3074096,244.3074095
2022/8/3,244.3074102,244.3074098,244.3074097,244.3074097,244.3074097,244.3074097
2022/8/4,244.3074097,244.3074098,244.3074098,244.3074097,244.3074097,244.3074097
2022/8/5,244.3074093,244.3074097,244.3074097,244.3074097,244.3074096,244.3074097
2022/8/6,244.3074096,244.3074095,244.3074097,244.3074096,244.3074097,244.3074096
2022/8/7,244.3074104,244.3074098,244.3074098,244.3074098,244.3074098,244.3074098
2022/8/8,244.3074094,244.3074098,244.3074097,244.3074097,244.3074098,244.3074097
2022/8/9,244.3074101,244.30741,244.3074099,244.3074098,244.3074098,244.3074098
2022/8/10,244.3074094,244.3074096,244.3074098,244.3074098,244.3074097,244.3074097
2022/8/11,244.3074104,244.30741,244.3074098,244.3074099,244.3074099,244.3074098
2022/8/12,244.3074096,244.3074098,244.3074099,244.3074098,244.3074099,244.3074098
2022/8/13,244.30741,244.30741,244.3074099,244.3074099,244.3074098,244.3074099
2022/8/14,244.3074096,244.3074097,244.3074099,244.3074098,244.3074099,244.3074098
2022/8/15,244.3074093,244.3074096,244.3074096,244.3074098,244.3074097,244.3074098
2022/8/16,244.3074116,244.3074102,244.3074101,244.30741,244.3074101,244.30741
2022/8/17,244.30741,244.3074103,244.3074101,244.3074101,244.30741,244.3074101
